HCHO Reading,Location,Current Date,Next Date,Precipitation,Wind Direction,Latitude,Longitude,Elevation
0.0002737589225376,NUWARA ELIYA,2019-02-24,2019-02-25,0.0,69.44,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-02-25,2019-02-26,0.13,74.31,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-02-26,2019-02-27,12.02,86.56,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-02-27,2019-02-28,14.2,248.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-02-28,2019-03-01,0.81,223.56,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-03-01,2019-03-02,0.04,71.62,6.9497,80.7891,681.44
0.0001235405797752,NUWARA ELIYA,2019-03-02,2019-03-03,0.01,64.31,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-03-03,2019-03-04,3.92,56.56,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-03-04,2019-03-05,1.19,149.88,6.9497,80.7891,681.44
0.0001477264081287,NUWARA ELIYA,2019-03-05,2019-03-06,0.55,186.06,6.9497,80.7891,681.44
6.384192250393643e-05,NUWARA ELIYA,2019-03-06,2019-03-07,0.42,231.25,6.9497,80.7891,681.44
0.0001673222246266,NUWARA ELIYA,2019-03-07,2019-03-08,0.02,168.81,6.9497,80.7891,681.44
8.084443465562647e-05,NUWARA ELIYA,2019-03-08,2019-03-09,0.36,201.25,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-03-09,2019-03-10,5.07,114.0,6.9497,80.7891,681.44
6.543632959168698e-05,NUWARA ELIYA,2019-03-10,2019-03-11,1.12,80.69,6.9497,80.7891,681.44
6.152930957380892e-05,NUWARA ELIYA,2019-03-11,2019-03-12,0.09,68.94,6.9497,80.7891,681.44
0.0002626515739848,NUWARA ELIYA,2019-03-12,2019-03-13,0.05,71.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-03-13,2019-03-14,0.0,72.25,6.9497,80.7891,681.44
9.745691103711994e-05,NUWARA ELIYA,2019-03-14,2019-03-15,0.02,69.19,6.9497,80.7891,681.44
0.0001547611296419,NUWARA ELIYA,2019-03-15,2019-03-16,0.03,74.81,6.9497,80.7891,681.44
0.0001265224542416,NUWARA ELIYA,2019-03-16,2019-03-17,0.44,66.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-03-17,2019-03-18,1.68,67.25,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-03-18,2019-03-19,5.28,69.19,6.9497,80.7891,681.44
3.81896059352209e-05,NUWARA ELIYA,2019-03-19,2019-03-20,0.27,72.94,6.9497,80.7891,681.44
-4.17166297978817e-06,NUWARA ELIYA,2019-03-20,2019-03-21,0.01,75.12,6.9497,80.7891,681.44
